,0,1,2
0,ATP,1.327606613421773e-09,0.34886006565373134
1,ADP,6.677863789409236e-06,1754.7667934521476
2,NAD,0.00014076795667703965,1.0608952286238498
3,Pi,0.0006634394843100541,unbounded
4,NADH,9.117582716011617e-06,0.06877872087191525
5,CoA,3.9475152110660987e-11,0.0005220023650243572
6,AcCoA,0.010807858973801803,102976.17064538517
7,PYR,2.555280527754004e-07,0.027583525600727604
8,FOR,unbounded,0.2802063764694813
9,Gluc,1.9027781396159053e-08,unbounded
10,PEP,1.942184502670293e-08,0.00033417568863422845
11,G3P,3.332010590248562e-05,0.0025111639185250775
12,ACDH,unbounded,0.002963264909329047
13,P3G,0.0015078296151923806,1.2554213330564596
14,AcAcCoA,5.622858713600385e-08,4.237657575843452e-06
15,G6P,4.6908333950336387e-08,2070.6565405440997
16,BPG,4.525863574550481e-07,0.0003768241202285207
17,P2G,3.761697016993988e-05,0.0004834875734951128
18,ETOH,unbounded,6.809539836779433
19,P6GLN,1.4625772985436643e-11,33.0100752536482
20,P6Glac,5.710377772591341e-08,8.397228526961484
21,KDPG,6.634394843100523e-05,171010.91739488833
22,HBCoA,1.370079108268147e-07,0.0003768241202285204
23,PHB,unbounded,37.82301143740669
