SucP,7.051819212726254e-05
HPM,4.4557588456296326e-05
FruKin,2.9080131551041913e-05
PGI,8.122087285714607e-05
PKT,0.0002425465289064654
TALA,0.00012563557160693106
TKT1,9.18078088526382e-05
RibIso,4.714580768166009e-05
RibEpi,6.83787646486313e-05
TKT2,0.0001456636718844012
TPI,7.239415144546576e-07
ALD,3.59687967595705e-07
FBPase,8.438969632342342e-05
GAPDH,1.638886823889091e-05
PGK,6.941878680834631e-06
PGM,4.7629053095953504e-05
ENO,3.2347710267133655e-05
PYK,2.6404742339999936e-05
PDH,3.515233111160666e-05
PTA,0.00020165022725082108
Thio,0.0007281111158638786
AAR,0.0006600138244101081
